type,client,tx,amount
withdrawal,328,1,2449.6736
withdrawal,280,4,318.795
deposit,48,5,5612.8894
withdrawal,367,6,2205.1858
deposit,302,7,7588.3149
withdrawal,82,8,2779.4355
withdrawal,173,10,968.0671
withdrawal,434,11,8071.4756
deposit,374,12,9731.1845
withdrawal,194,13,8294.2172
deposit,186,15,459.198
withdrawal,444,18,4534.6496
withdrawal,428,19,3553.3517
deposit,344,20,6091.7009
deposit,88,21,1634.8615
deposit,195,22,6846.4579
deposit,29,24,8050.653
deposit,206,25,9131.4481
withdrawal,162,27,3956.9234
deposit,469,28,2649.5368
withdrawal,276,30,8978.331
deposit,205,31,5095.7534
deposit,441,33,7921.0016
withdrawal,217,34,3816.8112
deposit,240,35,6803.1538
withdrawal,59,36,7686.2187
withdrawal,175,37,1582.4194
deposit,498,40,5077.3091
deposit,260,43,3739.7646
deposit,83,44,5989.8469
withdrawal,251,45,8787.3401
deposit,123,47,857.4489
deposit,390,49,1284.7863
withdrawal,85,51,9643.6647
deposit,476,52,7129.7768
deposit,461,54,2479.8082
deposit,33,55,5884.8127
deposit,4,56,2290.1889
withdrawal,464,57,709.5026
withdrawal,122,58,2143.1538
withdrawal,452,60,2430.7294
withdrawal,98,62,3543.6214
deposit,211,63,6733.9721
withdrawal,331,64,7282.4077
withdrawal,128,66,1402.6828
deposit,94,67,8744.9851
deposit,39,68,506.8327
deposit,497,70,1663.9448
withdrawal,249,71,9024.5262
withdrawal,85,72,2652.7654
withdrawal,147,74,1548.8135
deposit,152,75,5792.2237
withdrawal,278,76,572.5956
deposit,300,77,569.7389
deposit,261,78,686.1448
deposit,35,79,4038.3517
deposit,127,81,6194.1957
withdrawal,215,82,9347.1279
withdrawal,105,83,2387.6208
withdrawal,203,84,4572.7885
dispute,476,52,
deposit,235,86,733.534
deposit,110,87,9332.6605
deposit,452,88,3695.9014
withdrawal,81,89,6117.166
deposit,414,90,6678.9642
deposit,284,91,9389.3611
deposit,69,92,7424.4244
deposit,80,93,7176.4043
withdrawal,105,94,5054.5852
withdrawal,434,96,8293.6515
deposit,23,97,6371.4967
withdrawal,135,98,5517.2525
deposit,219,99,753.3634
deposit,453,100,5456.3573
deposit,428,101,4298.4373
deposit,22,102,8989.3474
deposit,108,103,3537.4327
deposit,384,106,8646.1924
withdrawal,13,109,7824.0826
deposit,56,112,8586.0739
withdrawal,114,113,3497.2346
deposit,117,115,3985.2613
withdrawal,180,118,6795.5017
deposit,432,119,1154.3022
withdrawal,497,120,383.5337
withdrawal,306,121,4364.5024
deposit,262,122,2547.9703
deposit,363,123,3642.8505
withdrawal,472,125,6634.2114
withdrawal,154,127,3262.5029
deposit,357,128,1919.2091
withdrawal,90,131,4061.3456
withdrawal,427,132,2102.6167
withdrawal,403,133,4650.4169
withdrawal,227,134,7937.5603
withdrawal,87,136,5155.0046
deposit,325,137,8184.4162
withdrawal,385,138,2247.182
deposit,102,139,2449.1806
deposit,244,140,4554.7063
deposit,454,141,7183.7408
deposit,197,142,1476.5659
deposit,353,143,7784.4256
withdrawal,113,144,503.1336
withdrawal,63,146,6676.1097
withdrawal,287,147,6126.9106
dispute,219,99,
deposit,231,151,8398.789
deposit,267,153,2746.6999
withdrawal,121,155,8930.3753
deposit,42,156,3830.9699
withdrawal,33,158,5426.5688
withdrawal,213,159,3895.3786
deposit,395,160,8567.4636
withdrawal,392,161,59.9549
withdrawal,181,162,8534.6261
deposit,460,166,2730.0802
withdrawal,249,167,6689.0673
deposit,409,168,8405.2161
deposit,471,169,9069.3817
deposit,304,170,840.3907
withdrawal,220,171,1818.1085
deposit,134,172,4547.5386
withdrawal,195,174,2523.463
deposit,42,175,9999.0784
deposit,180,176,7812.5493
deposit,334,177,9496.1677
deposit,319,179,4736.137
deposit,59,180,4650.8748
deposit,86,182,7778.1411
withdrawal,56,184,5758.3915
deposit,102,187,1019.9112
deposit,396,188,7962.4759
withdrawal,178,190,690.4984
withdrawal,332,191,8223.4868
withdrawal,55,192,6356.2155
deposit,425,193,4355.436
withdrawal,376,194,6159.5076
withdrawal,471,195,4649.2728
deposit,138,197,8307.4795
withdrawal,45,198,2439.3905
withdrawal,238,199,3364.6298
withdrawal,94,201,7978.5257
withdrawal,175,202,5558.3545
withdrawal,44,204,4886.2899
withdrawal,389,205,6459.3831
deposit,252,206,931.4405
deposit,114,207,3062.7541
withdrawal,298,208,4255.6126
withdrawal,382,209,7028.8466
deposit,139,210,1207.4382
deposit,99,211,1916.2182
withdrawal,379,212,9805.1258
deposit,427,213,3609.4498
deposit,155,214,2743.839
withdrawal,499,215,6974.4765
withdrawal,65,216,1026.7739
withdrawal,7,217,4787.6634
deposit,175,218,2525.5314
deposit,442,219,4007.6737
deposit,38,220,1518.1183
withdrawal,416,221,852.7239
withdrawal,128,222,6063.5702
withdrawal,405,223,4505.6941
withdrawal,227,224,3054.4971
deposit,318,225,9475.9544
withdrawal,107,226,6604.6209
deposit,81,227,1566.1696
withdrawal,210,228,2913.3016
withdrawal,119,229,7030.1726
deposit,233,230,9239.1865
deposit,302,232,4251.9645
deposit,279,233,9084.206
deposit,424,234,1660.062
withdrawal,158,235,4392.0953
withdrawal,240,236,9426.8197
withdrawal,257,237,805.3381
withdrawal,377,239,259.6231
withdrawal,392,243,5762.8936
withdrawal,241,245,9160.8118
withdrawal,224,247,9690.5833
withdrawal,241,248,3211.2615
withdrawal,169,250,2882.8897
deposit,484,251,4548.8043
deposit,162,252,9701.8771
deposit,237,256,5184.8755
dispute,319,179,
deposit,105,258,9276.7999
deposit,249,260,7098.1185
withdrawal,160,261,932.9988
